Frequencia_Hz,Impedancia_Ohm,Fase_Graus,Z_Real,Z_Imaginario
1000.0,725.94,7.51,719.7129339787762,-94.87979902835968
2000.0,8844.64,50.82,5587.678777005169,-6856.055908071784
3000.0,11424.35,44.83,8102.168369163137,-8054.231225898122
4000.0,13029.14,39.37,10072.38268955414,-8264.719964691489
5000.0,13614.04,32.47,11485.793334793589,-7308.805414841141
6000.0,13792.28,26.72,12319.46437352003,-6201.434120263698
7000.0,13945.77,22.0,12930.292783501867,-5224.177392261823
8000.0,13982.26,23.8,12793.20396538989,-5642.475255376169
9000.0,14003.74,21.2,13056.020108033716,-5064.096457041399
10000.0,14035.04,18.11,13339.765085133242,-4362.68441158195
11000.0,14152.12,16.34,13580.50335940764,-3981.5108940599207
12000.0,14067.49,13.91,13654.95437191131,-3381.7888758939675
13000.0,14227.7,12.13,13910.04307496214,-2989.6737184344865
14000.0,14187.91,9.76,13982.561099931867,-2405.1559730653958
15000.0,13951.22,13.47,13567.450102640283,-3249.744174664545
16000.0,13948.86,12.12,13637.940001382138,-2928.7007048008472
17000.0,13951.17,11.31,13680.244480696352,-2736.065663919086
18000.0,13964.25,9.68,13765.430121462716,-2348.0229201664483
19000.0,13987.2,8.13,13846.625091406873,-1978.064058118851
20000.0,14002.49,7.36,13887.121202490312,-1793.7644514941205
21000.0,13727.41,10.59,13493.59706204016,-2522.8205713845714
22000.0,13751.53,9.79,13551.274590765617,-2338.2759260981506
23000.0,15039.06,9.85,14817.369028219708,-2572.722442308013
24000.0,14864.97,8.86,14687.595725874235,-2289.511933618357
25000.0,14944.0,7.28,14823.532471906614,-1893.6792374449763
26000.0,14988.81,6.48,14893.051147235406,-1691.5829101554912
27000.0,15018.05,5.98,14936.326609134543,-1564.600021653894
28000.0,14871.28,5.02,14814.236956943165,-1301.2886774038038
29000.0,14494.15,8.26,14343.792435596297,-2082.30708278833
30000.0,14553.61,7.44,14431.083221988178,-1884.5161374080506
31000.0,14421.3,6.46,14329.734036570115,-1622.5338613304712
32000.0,14480.42,5.73,14408.06756587387,-1445.7359349526605
33000.0,14545.97,4.95,14491.719008355029,-1255.1188883056195
34000.0,14424.09,4.03,14388.424838035686,-1013.7075556084847
35000.0,14563.66,2.55,14549.238715519634,-647.9547780706438
36000.0,15773.29,3.85,15737.693682624762,-1059.0915805409402
37000.0,15129.59,8.07,14979.766174542076,-2123.9347739855593
38000.0,15013.44,7.02,14900.892508924393,-1834.8795794495336
39000.0,15102.57,6.27,15012.23059386654,-1649.4099555530481
40000.0,15002.39,5.18,14941.119859398417,-1354.4899627499033
41000.0,15155.53,4.01,15118.427144797508,-1059.8350099661131
42000.0,15083.33,2.96,15063.206255239369,-778.8845877391244
43000.0,15186.14,2.24,15174.535862709225,-593.5566114125901
44000.0,15110.25,1.17,15107.099691961397,-308.5351837957086
45000.0,16463.68,3.4,16434.70109019194,-976.4011565150878
46000.0,15448.71,6.88,15337.467193423858,-1850.6055102984212
47000.0,15448.71,6.88,15337.467193423858,-1850.6055102984212
48000.0,15373.43,5.79,15294.999853771767,-1550.9124533711195
49000.0,15493.64,5.1,15432.301692690915,-1377.2962337017727
50000.0,15434.58,4.11,15394.886722084002,-1106.219955796159
51000.0,15382.1,2.99,15361.15963803315,-802.3558966326956
52000.0,15503.28,2.36,15490.130448708007,-638.3959902827636
53000.0,15463.33,1.27,15459.531453701455,-342.72718146567905
54000.0,16695.23,4.99,16631.953316377,-1452.1823696616373
55000.0,16666.64,3.83,16629.417235957622,-1113.2705340731825
56000.0,16642.25,2.76,16622.9449485366,-801.3652727823949
57000.0,16794.55,2.13,16782.946144805606,-624.2022132728102
58000.0,15576.42,5.36,15508.310888311602,-1455.04412574871
59000.0,15419.4,4.85,15364.190177248523,-1303.6704174521817
60000.0,15583.2,4.18,15541.748398427197,-1135.8604491686751
61000.0,16636.32,7.35,16499.622355253294,-2128.2869347025708
62000.0,16627.02,6.19,16530.081119296196,-1792.822431220516
63000.0,16463.54,5.62,16384.404315255688,-1612.2793076358575
64000.0,16626.95,5.07,16561.896622806278,-1469.3694423044126
