Frequencia(Hz),Magnitude_Tendencia(Ohm),Fase_Tendencia(°)
1000,2171.7190075187964,-2.526180451127821
2000,2082.7585664160397,-3.2862957393483727
3000,1999.5784599734625,-3.970758661359283
4000,1922.1786881910655,-4.57956921716055
5000,1850.559251068848,-5.112727406752178
6000,1784.7201486068107,-5.570233230134162
7000,1724.6613808049533,-5.9520866873065055
8000,1670.3829476632754,-6.2582877782692075
9000,1621.8848491817776,-6.4888365030222666
10000,1579.1670853604687,-6.643732861565714
11000,1543.6644095533036,-6.452361786820026
12000,1517.750853604608,-6.371026094648421
13000,1491.4527200353907,-6.2173949579832275
14000,1484.0472843874472,-6.289690402476815
15000,1471.9498540468899,-6.223303847854966
16000,1464.709168509517,-5.9883856700575295
17000,1450.911494913763,-5.568474126492733
18000,1441.4692304290213,-5.512649270234441
19000,1426.5597877045632,-5.695068553737316
20000,1406.7486245024402,-5.587633790358279
21000,1392.5265369305691,-5.352596196373316
22000,1374.862773109251,-5.159451570101753
23000,1361.6025961963805,-5.19190623617871
24000,1350.0431180893484,-4.7796727111897646
25000,1343.4105838124797,-4.684383016364466
26000,1347.743719593108,-4.4707518796992725
27000,1344.5722865988573,-4.301552410437883
28000,1340.2750552852792,-3.993954002653715
29000,1332.0651968155755,-3.834697036709442
30000,1327.2224988943017,-3.677739938080516
31000,1330.5097700132758,-3.889858469703692
32000,1337.2224502432625,-4.0436178681999335
33000,1335.907532065465,-4.322746572313159
34000,1332.112534276876,-4.33697921273775
35000,1326.8906899602018,-4.287103051747037
36000,1324.7502697921345,-4.29871738168954
37000,1314.0778903140274,-3.9256921716055055
38000,1300.3288677576365,-3.3157673595754273
39000,1294.340499778866,-3.0638965059708263
40000,1290.8206855373799,-2.9278151260504366
41000,1289.004241486075,-3.1993940734188584
42000,1288.3916187527714,-3.102671384343228
43000,1290.7721848739566,-2.8353383458646766
44000,1302.1650818222097,-2.1854621848739617
45000,1301.6387704555577,-1.7670853604599834
46000,1299.1332905793965,-1.6287085360460065
47000,1292.5535692171675,-1.9798850066342435
48000,1289.9441264927095,-2.199991154356491
49000,1282.0336488279595,-2.14170278637772
50000,1274.3307253427756,-1.9098938522777633
51000,1269.2232021229613,-1.7065900044228313
52000,1263.0135117204845,-1.6814860681114643
53000,1266.7421318000952,-1.3202167182662614
54000,1271.3756390977512,-1.052069880583819
55000,1273.1291950464465,-0.8274834144184043
56000,1277.5314285714355,-0.9548518354710361
57000,1277.5593940734257,-1.330477664750118
58000,1278.2018000884636,-1.7055506413091641
59000,1279.5361786820063,-2.103025210084044
60000,1288.5695665634744,-1.7481424148606903
61000,1293.4317823971764,-1.609677134011508
62000,1299.1786068111526,-1.3812516585581676
63000,1296.2099380805023,-1.4359000442282253
64000,1290.261990269799,-1.5577089783281814
65000,1285.001804511285,-1.876629809818674
66000,1272.9254135338415,-1.8611941618752859
67000,1257.294113224244,-1.5305218929677211
68000,1251.8608049535671,-1.0173816895179177
69000,1244.8610216718332,-0.6061211853162353
70000,1237.0587616099137,-0.3002344095532971
71000,1233.1628261831115,-0.03294559929234936
72000,1225.0514904909398,-0.08094648385670122
73000,1218.5304688191134,-0.20973020787262375
74000,1207.6741176470655,-0.18206988058381318
75000,1196.4536355594935,-0.16652808491817828
76000,1191.7718487395025,0.2781424148606827
77000,1188.2410570544073,0.6916099071207463
78000,1186.406505970816,1.085152587350735
79000,1178.3458248562647,0.9428659885006678
80000,1173.9553427686928,0.8619106590004464
81000,1168.9810128261895,0.44305616983635787
82000,1166.8149535603777,0.053237505528527795
83000,1167.7045776205282,-0.32271561256081494
84000,1168.4928615656852,-0.05449800973020788
85000,1171.8157540911166,0.3077930119416199
86000,1174.3872666961586,0.41785050862450396
87000,1172.038735072983,0.11881468376824422
88000,1173.3394294559994,-0.33781512605042213
89000,1170.7762140645796,-0.8430959752322023
90000,1167.2473949579896,-1.3031844316674102
91000,1157.9085714285777,-1.4825077399380875
92000,1154.4649172932334,-1.444897832817338
93000,1150.8514636591483,-1.3258224974200215
94000,1147.0682105263163,-1.1252817337461314
95000,1143.1151578947374,-0.8432755417956674
96000,1138.9923057644116,-0.4798039215686287
97000,1134.699654135339,-0.034866873065017456
98000,1130.2372030075194,0.49153560371516725
99000,1125.6049523809531,1.0994035087719256
100000,1120.80290225564,1.7887368421052579
