frequencia,Z_real,Z_imag,fase
1000,2160.0,0.0,0.0
1200,2192.1936388562726,-12.626268573666692,-0.33
1400,2221.1274892557576,12.01757348280657,0.31
1600,2219.2269975512277,125.62826807595451,3.24
1800,1971.3802780099143,-32.00139174399979,-0.93
2000,2120.2235562919473,-185.12264973451497,-4.99
2200,2029.2311572707574,-254.1928764965334,-7.14
2400,1964.3023606847025,-440.87377412191853,-12.65
2600,2082.818935802005,-339.58177669687325,-9.26
2800,2160.0,0.0,0.0
3000,1957.7385476888128,-156.82811926850783,-4.58
3200,1980.9479283325063,-190.74359054802295,-5.5
3400,1971.0503501590345,-208.90496700161884,-6.05
3600,1936.5150429484474,-144.2477827710838,-4.26
3800,1943.5258073106043,-169.69467498323064,-4.99
4000,1943.3787007449369,-282.12282429984396,-8.26
4200,1971.923971473358,-120.95349366074116,-3.51
4400,1966.1459026799168,-306.4840966102073,-8.86
4600,1793.5342411900513,-115.3539911699066,-3.68
4800,1971.923971473358,-120.95349366074116,-3.51
5000,1810.6534924521063,-106.62126603539429,-3.37
5200,1810.6534924521063,-106.62126603539429,-3.37
5400,1805.7730270860293,-276.9672304597772,-8.72
5600,1810.6534924521063,-106.62126603539429,-3.37
5800,1810.6534924521063,-106.62126603539429,-3.37
6000,1810.6534924521063,-106.62126603539429,-3.37
6200,1810.6534924521063,-106.62126603539429,-3.37
6400,1805.7730270860293,-276.9672304597772,-8.72
6600,1810.6534924521063,-106.62126603539429,-3.37
6800,1810.6534924521063,-106.62126603539429,-3.37
7000,1677.5376205372797,-95.25748937548943,-3.25
7200,1677.5376205372797,-95.25748937548943,-3.25
7400,1673.3416365925211,-253.06912918383068,-8.6
7600,1673.3416365925211,-253.06912918383068,-8.6
7800,1673.3416365925211,-253.06912918383068,-8.6
8000,1673.3416365925211,-253.06912918383068,-8.6
8200,1673.3416365925211,-253.06912918383068,-8.6
8400,1673.3416365925211,-253.06912918383068,-8.6
8600,1673.3416365925211,-253.06912918383068,-8.6
8800,1673.3416365925211,-253.06912918383068,-8.6
9000,1557.3845373111708,-232.47479980434645,-8.49
9200,1557.3845373111708,-232.47479980434645,-8.49
